Country Name;2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020]
Bulgaria;6424.75575422061;6961.97276833489;7786.41700228371;8408.3560217176;9193.83105986015;10291.4533855198;11392.8766197617;12795.8412484357;14335.6690235298;14191.5715073501;14967.9355936349;15747.0351521196;16327.958407025;16647.0205273272;17616.9396692571;18391.8425194649;20074.2856950055;21469.9391535671;22957.4001338989;24707.0625985198;24619.9508867848
Burkina Faso;921.939176749921;976.160879295841;1005.42999058038;1072.46713586937;1117.46483140297;1215.57325780426;1291.48579644952;1339.73764860948;1401.95772721559;1411.12752844523;1502.10404736947;1586.57116112236;1619.39942588838;1683.10583320456;1692.30324218467;1713.52013591224;1895.29506603366;2044.38698676758;2168.66221320779;2267.50663763582;2273.17001852395
Burundi;527.080874650023;537.359461223141;554.944847680609;541.763919368898;565.042746654446;569.274971643531;598.507597533049;615.229559660846;636.332024089182;644.105174174961;663.05448953244;681.971621284674;690.687841656639;740.983221098929;777.041241495558;841.646025860003;796.944083373075;773.572858670972;779.808175667897;783.451983198669;770.876071590247
Cabo Verde;3032.19718269795;3113.16097707704;3273.95008970364;3420.20063315025;3813.68919727303;4146.06695277215;4552.22942052653;5316.85498281318;5711.2759169575;5613.7465582812;5692.54910540752;5966.84799990471;5818.90305855813;5792.91983252115;5748.09623755065;5994.40710298456;6322.91323439408;6643.17989182913;7028.99309072646;7475.12251980896;6374.26777606119
Cambodia;1075.4102030522;1164.58064562477;1237.65377684645;1344.62396744375;1499.08623618028;1723.31431659366;1936.88290122022;2159.6246093729;2314.46201172789;2299.38688435977;2427.24450158608;2611.30634889515;2868.73751520968;3045.59096086616;3185.33627228952;3388.7376383038;3675.03861980999;3928.37393363069;4259.20311888739;4574.40302707687;4419.83411043885
Cameroon;2028.82559144813;2106.63429185235;2177.16850000849;2276.83140075992;2436.45533313286;2499.66951977028;2601.50065969807;2711.60981878851;2765.93176436338;2781.28985080513;2816.79742422742;2892.44839355173;2958.69262357735;3129.85863840047;3312.54006384035;3395.62896070874;3527.16537164694;3665.11785084879;3800.97126711913;3901.14195980824;3866.07902724036
Canada;29362.9452451183;30214.092507567;30963.0530022941;32333.482974789;33911.0436805378;36327.2286544972;38106.3566318206;39555.5009794104;40376.3068799056;38893.7205280568;40114.1895852364;41666.7076267956;42290.9654102745;44298.5787342765;45753.7505547994;44670.0805385838;46472.3402486315;48317.0965785817;50239.9910453428;50660.5777927922;48090.9921673477
Cayman Islands;..;..;..;..;..;..;71406.655340209;73399.6882760133;72406.3431566275;65886.3297753441;63298.1776464306;64014.7419684634;62795.9026761888;62440.0072218164;63067.4199221543;64233.533979905;66639.5510604135;69753.0897229101;73507.5695160568;76747.6663062938;71567.3808143183
Central African Republic;674.440851650532;704.222542934992;725.61483382938;684.955920314678;730.746977650051;745.573232390044;789.209642056639;831.608980433439;849.941050174164;916.187705564127;958.921104128334;1012.65740130414;1102.02752561172;738.474892262448;720.324109649209;787.012906484635;851.072671306351;912.803045335037;955.513744292128;985.112041352215;987.276727022277
Chad;765.583256899893;841.131895065803;891.92272257169;1002.79535771602;1325.09610042437;1545.73941230712;1547.58505903577;1586.39517827262;1612.14549869414;1637.80434115976;1819.69507191267;1797.74979651577;1730.79396361338;1569.05870411625;1677.0903310444;1820.0599087617;1664.51258599391;1587.03232784726;1614.16828691983;1646.42839054023;1601.76172724145
Channel Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Chile;9553.56849069601;9972.65166946656;10333.0609557183;10841.325904755;11812.6341256259;12746.5896892655;15753.9601005362;16941.8298335969;16501.8098843946;16159.6071479931;18161.8092446236;20342.5614772686;21507.6925701952;22439.2732478593;22786.642771331;22698.5456555402;23437.5925260344;24470.7036236997;24740.4961524432;25974.7316377039;25067.6916009163
China;2920.56079076815;3210.00939572914;3534.84912978684;3937.31287532441;4425.87419106099;5053.94579810189;5836.57343667871;6810.60390010026;7574.22445504338;8307.84951896429;9253.76518771214;10292.9404780675;11168.6972979775;11872.4973811617;12480.3385303781;12897.5022868592;13483.3772665319;14243.5326108491;15497.3599948376;16653.338843518;17204.3558316712
Colombia;6690.37375083775;6843.73903680457;7018.08201847342;7319.54321218707;7806.05050932725;8324.75468840448;9035.56563955056;9781.97040788477;10179.2448415524;10258.9708392748;10731.645914959;11604.102283016;12018.6512847411;12727.764931531;13307.4245015783;13265.7972569151;13812.0960563446;14171.3205005648;14865.8932403218;15621.0873671586;14570.2367427105
Comoros;1801.76413418643;1838.35545633933;1865.26716452511;1894.19995695565;1936.00679812712;2004.64086829639;2069.87974361153;2091.74198352579;2165.07542529474;2197.80866358571;2252.87770644599;2337.02761944511;2511.50597918595;2636.47297637723;2716.82752451541;2709.56253991486;2863.85204380798;3032.26213308112;3146.90174765251;3188.1754621661;3151.9571447805
Congo, Dem. Rep.;447.082160419758;435.076432921769;441.820273107902;460.770125695347;489.420095076424;518.840324513769;545.151387440003;575.749076420598;603.287907483324;604.844173462366;633.913133471598;668.940881028426;669.567442630972;753.485168060936;849.760818562134;905.45059935323;963.66927221216;1059.81076228861;1111.9657900707;1144.38102852206;1141.39393437139
Congo, Rep.;3699.22840624596;3813.74770850913;3938.43223058317;3929.60019058186;4052.51320216562;4363.25091354379;4695.68828973156;4350.75200478212;4555.98509014028;4959.39624417032;5349.82956075429;5428.24153532541;6335.78575193988;6069.00098516396;5931.1339160899;4639.74451767185;3839.96160000024;4234.65988322969;4022.74881361541;3987.49015807688;3620.96829731244
Costa Rica;7838.4399168426;8142.67203460157;8414.65774949844;8805.39497374121;9305.99188360408;9836.96227015174;10727.2032806153;11760.0655163335;12392.2856767078;12219.9404904944;12863.8495103757;13545.9317746231;14321.5183732954;15005.9193570501;16067.3307687659;17090.796576083;19075.0044670019;20347.0347715873;21022.7651850904;21833.966610898;21143.342816956
Cote d'Ivoire;3273.82866717885;3196.19244473659;3088.7238462639;2934.71765054852;3045.53566172633;3105.32367160543;3219.15055011122;3269.4571369662;3415.09339388131;3484.50843196153;3679.6009110919;3470.92983406896;3558.63106764748;3867.32387620621;4319.57865464426;4652.88961920098;4726.98073995015;4830.75051522678;5154.33170207433;5432.99260799494;5463.47925943116
Croatia;10688.2516680155;11660.6427775244;12769.731095698;13668.110515029;14663.0315403489;15436.6666305039;17572.2348390391;19469.6238253712;20921.4620652958;20164.3061631576;19982.4967444903;21014.6553175893;21397.6448488406;22081.1234112986;22325.0971964267;23301.1995586888;25210.8840988423;27154.0861451509;28960.3845669974;30989.5809910097;29133.989479622
Cuba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Curacao;22701.9604438782;23897.7519760967;24342.3445432778;24358.3499396975;24637.5808585686;24932.8903409633;25445.7018014155;26251.0517831728;27005.292515917;26890.91975277;26884.2709168924;27224.4009690808;26175.4939023336;25921.158411774;25379.297699527;25090.2081248596;24808.4036650153;25475.4896636129;25656.4585326602;25530.2068655375;21405.8505163435
Cyprus;21297.77084194;22871.7203952354;23556.3185266039;24254.7959809354;25923.2334822354;27763.2263803954;29975.324186549;32841.7194326633;34830.1217363099;33909.7338795686;33449.0863922437;33313.4700633805;31834.7201145622;30375.1189156952;30080.3000080402;31815.1397351446;35719.0663731245;38050.8577356233;40476.3862698991;41514.5105084213;38458.1912618072
Czech Republic;16242.5431891497;17628.6771451603;18252.5727653685;19517.9356689444;20914.7332340539;22095.3878539836;23891.7047437885;26250.4764062027;27974.487131849;27781.9446709234;27903.2587161981;29001.3680365492;29254.7312685144;30818.1081558477;32502.4753540118;33899.2865661657;36097.7052556977;38824.8879170919;41134.0898758874;43316.3274410414;42049.1859541573
Denmark;28670.589999229;29450.0429841243;30640.3456230968;30788.6245747735;32911.4015319318;34150.1594558945;37284.4547535413;38958.859532939;41278.3268270571;40361.0963878281;43035.8920627169;44403.3848413929;44803.9682421214;46726.8541437832;47901.4473627066;49045.3391904109;51976.0057060956;55356.680780178;57456.6118315406;59896.5674986035;60551.6401721314
Djibouti;..;..;..;..;..;..;..;..;..;..;..;..;..;4103.94120366257;4289.03424993655;4574.44985165724;4692.55068910026;4885.20503911992;5339.26107514241;5768.83108992215;5779.60986998271
Dominica;6516.29143017317;6652.96393727246;6551.18517229743;7070.25843973391;7451.80800128178;7713.17410884693;8300.62876800022;9054.99374766821;9884.01154811376;9840.2388784557;10017.7618724744;10199.1242353027;9946.83026464519;10145.9193773568;10909.3766283126;11141.2010963286;11949.5340594635;11304.0433278877;11804.345863069;12892.0210996239;10849.1867569581
Dominican Republic;6760.12887876537;6973.54280520399;7295.05736783111;7226.72128148795;7506.73376097639;8356.00840221911;9274.89754992466;10098.6989654173;10491.6151457835;10539.3989175546;11410.3534599665;11869.1230948161;11900.4850051553;12482.1621152034;13475.0111677589;14740.8268674233;16109.8636711409;16735.3644228294;18137.0523994947;19191.5803869457;17928.9770702416
Ecuador;5838.9025248881;6094.3518297918;6332.18587423771;6513.29940403056;7117.17066810899;7598.9506417776;8037.88613710275;8294.64314944288;8845.55389092678;8818.67952261285;9090.31005023095;9857.52052282788;10311.4045972003;11153.6852119041;11713.1759081751;11060.2862685275;11034.26917908;11617.9122190573;11839.3432355586;11851.4654079335;10891.7147430596
Egypt, Arab Rep.;5794.12525654866;6015.09573582915;6139.67898913655;6334.5712788004;6648.42901856206;7033.91892170753;7606.75573398818;8219.48274929236;8820.71650563293;9131.49909819552;9522.50916306002;9686.0462638774;11092.7432596071;11221.3803859221;10895.9431672625;11512.4021442637;11192.3730101321;11014.4864791744;11639.2390898864;12260.7205373863;12602.3092736096
El Salvador;4466.89622730258;4574.67101474036;4692.30731825899;4828.40190238636;4977.80679954569;5247.31155659359;5615.68672543057;5848.36915211128;6063.1485118757;5956.67744591121;6126.97339476277;6465.8084892608;6541.21616386338;6877.14637566515;7233.1952211983;7597.68917351694;8038.62979428837;8454.05216690571;8822.5507744192;9147.26106629205;8417.35052886245
Equatorial Guinea;8617.7350665838;13808.0231851848;16076.1818922544;17891.3194541957;24283.6950092741;27963.363619494;29646.2863921709;33506.4476563378;38407.9243001727;37447.9232203122;32965.864655974;34279.977000164;37570.6353966964;34766.0438762572;33696.2164869995;24042.3530728913;20458.778595283;22550.958161123;20875.478210598;19285.0362474418;17933.8399807187
Eritrea;1528.58365866223;1639.99834733719;1642.45989228575;1553.45551980097;1547.72245393989;1575.14228517438;1556.66015549904;1578.902664939;1420.73827020827;1459.83008378832;1485.19749586246;1625.50767298855;..;..;..;..;..;..;..;..;..
Estonia;9425.39186598705;10318.7242837216;11663.2715046648;13119.0234360351;14524.2842720795;16634.8927393745;19319.4214911288;22168.2505460957;22802.3421764634;20492.9510824178;21635.9742031175;24557.2361475947;25996.0467779508;27464.5186781161;28945.4653303277;29175.9259267894;31312.7522996878;33821.93290847;36158.8196517341;38294.4773615386;37925.1167990798
Eswatini;4721.96956239458;4837.106053724;5101.42952973323;5378.04199868851;5703.50576523464;6208.02654850338;6743.02954493251;7185.80993113114;7334.44491171221;7452.68629709854;7771.33143932733;8057.56380133461;8266.49172472382;8708.44027948732;8798.29399019978;8813.00878153511;8705.84316961283;8408.03591539676;8725.16279270436;9018.85428202091;8862.43873631802
Ethiopia;482.884385700578;519.271669909084;520.339286837525;503.972469824918;571.403661559689;640.658143594136;711.587039630853;792.35361271386;870.715266913154;928.62556339917;1028.32375916808;1134.78450923447;1213.59597169934;1283.57044925133;1513.70323628954;1657.34470426365;1878.81268193814;2021.56290796009;2154.02087685878;2315.34773012818;2421.90986275822
Faroe Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Fiji;5836.70323240337;6062.25449769842;6344.80659829273;6520.69538201286;7035.74951726276;7272.41971049843;7573.56300502875;7634.16881846066;7777.73869404715;7653.44494047449;7914.10092561106;8263.04546194271;8839.51586223556;9536.32634910738;11346.9457863033;12412.3506858719;12631.9122008691;13429.3006222384;14178.5633985018;14262.9995440375;12074.3452291337
Finland;26796.3603423706;27807.7081100488;28605.1223159604;29021.5670530932;31175.8834703703;32051.7940038456;34409.0274886861;37792.4143812135;40083.6972699668;38000.2456254076;38986.2159635875;40916.8385790274;40873.0953326066;41493.1416470359;41757.4021894413;42497.7049785783;44934.4482077785;47570.133583848;49706.5970899487;51521.3348215883;50810.5274084823
France;26101.9688962674;27501.9337235641;28523.8861886505;28143.6408076059;29036.386661244;30498.5768807102;32425.1238753017;34079.9312716648;35095.2656832956;34703.5984181258;35930.3143995293;37440.6334729758;37679.1189105924;39523.8551519345;40144.0268283679;40849.9973780501;42924.613626021;44577.0645745394;46620.6844834466;49619.9097123955;46712.0101128339
French Polynesia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Gabon;13852.3502868003;14117.6989406454;13968.8225732337;14199.3111976553;14315.1090497268;14755.3704074531;14366.1874865316;15187.9208196455;14517.8476438716;14177.1735316114;14837.0170141476;15638.7471684984;15356.2354244887;15114.3775115057;15370.9679935145;14699.5360478349;14286.1897045921;15006.8440374987;15097.6916533021;15577.9187568638;15100.7409671358
Gambia, The;1913.77573032594;2004.7378453993;1908.25810730943;2011.81075527716;2142.75816430151;2091.54609446881;2078.64229154324;2134.51896463704;2244.4966090246;2341.67944907236;2434.88717523517;2215.75710377647;2199.77775031536;2121.48963271537;2027.03635591229;2066.85935860117;2068.74780128011;2072.64683284207;2209.89259276595;2319.00114098602;2274.20904983846
Georgia;3104.51566879805;3377.05112661188;3650.85722618158;4157.87940249166;4545.29312196367;5169.06242530316;5860.35839090633;6810.19084575205;7132.20527273598;6986.00455062308;7564.06307018208;8360.29720703065;9826.05275341086;10611.7741169939;11575.547210705;12089.1694050447;12858.4834001898;13589.7073915159;14595.6306437119;15623.1529588881;14761.477073018
Germany;27210.8722581114;28380.8115526088;29178.6374658122;29877.3263697634;31307.861593288;31794.0960095207;34114.6212431731;36243.4604251244;37802.3874303197;36842.9161976042;38982.4263045636;42541.5310884096;43359.6148271723;44993.8927459315;47011.5510935131;47609.7810045816;50579.6839299266;53071.4555699913;55142.3187778789;56284.9805214619;54263.649614552
Ghana;1771.53655479376;1837.24933729614;1903.1467390689;1989.76621591995;2104.81052490528;2241.28661214251;2394.92984801893;2500.80421792671;2711.87535105244;2792.96783421253;2973.83342186826;3379.48459855514;3781.86552893947;5294.82002761066;5568.23595709396;5206.02887134007;4992.73033905348;5115.90675022862;5442.8721471509;5774.3338132172;5742.2931946645
Gibraltar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Greece;19524.6802172826;20963.8427229272;22615.9356074635;23871.969989623;25439.3544311274;25577.5241052346;28510.9425374082;29284.6739561141;30856.0118395987;30381.4903146476;27934.4082344923;25671.5160853562;24911.119631324;25986.6503155014;26625.0618096799;26760.3633030256;27511.8010160972;28604.8609402657;29652.9308800022;30841.7028502236;28377.3942736576
Greenland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Grenada;7641.24942559965;7620.79834623061;7976.99384901288;8862.70977596244;9012.66264799437;10495.8283551972;10353.7204895313;11256.6055061126;11554.1986443002;10838.4291881372;10863.4810030685;11116.7478882167;11163.8153053984;11887.3578830457;13042.0556249047;14151.9010690754;15025.683836939;16217.4998498411;17231.5122297741;17580.9007123125;15277.5602377275
Guam;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Guatemala;4763.6604208456;4863.44667679621;5013.51161965312;5124.38873294152;5313.30678615953;5541.98033488998;5894.58435338262;6310.61154582917;6518.38840007268;6476.42568562952;6618.19053228711;6910.87650155221;7204.73293807874;7446.58800936721;7758.49316980639;8194.44068126819;8221.74642722194;8322.21680991504;8665.34726097301;9019.25606239135;8850.37303269596
Guinea;1224.34093577932;1269.79611452288;1329.79939924299;1345.23912204815;1386.43959589011;1442.75764774239;1472.13032304565;1578.98272513826;1638.24924149847;1595.24056141792;1653.71943629807;1743.94910921465;1795.44780781654;1811.33251750093;1804.54328262549;1819.36234274976;2078.64100321761;2417.80379491483;2559.72476578084;2675.59369518887;2816.27324721277
Guinea-Bissau;1072.50981869902;1096.47704783482;1078.8038541593;1080.2477096133;1113.75747338842;1169.45304070807;1203.45094585613;1245.39779136994;1278.24675129574;1298.20126740959;1338.98104821401;1439.28343467148;1355.31356354669;1364.38360971298;1378.23754028997;1597.20425429364;1746.75274593369;1925.23773659951;1947.59676042334;2021.30194281608;1948.07663529473
Guyana;6014.27843077742;6299.05574417585;6474.78832851104;6550.23130364102;6826.28668762988;6897.71965252718;7469.20050496154;8219.83673713825;8510.44840898141;8896.99490447837;9319.39241925339;9987.42142760934;10479.7780774689;11023.2296762194;10951.7932372614;11198.3011463181;11296.7699725276;12005.4051046745;12777.1649920039;13635.4261279368;19697.2437857514
Haiti;2188.41921435036;2191.2138063361;2211.94273959824;2293.20810098618;2286.15830483806;2390.63063270089;2466.44105099971;2609.8518414406;2688.51644729548;2824.23566975369;2654.6874953426;2805.72729497687;2762.4402754772;2952.30387694134;2965.47903286886;2898.6246609269;3084.03383445855;3153.29938869996;3241.30326869021;3203.30003894468;3094.04145359071
Honduras;2591.33182006218;2648.81186176896;2720.27367721583;2824.6066131014;3006.69595514001;3210.34858637193;3443.77085935893;3671.33194421853;3816.83524756931;3674.23095544369;3778.4619238786;3928.26853820829;4032.58085606675;4142.23845579365;4452.5879909675;4823.39539552507;5147.2451332568;5561.99454219124;5816.74732402308;5978.76439909738;5418.21581099383
